Dataset Atlas Type Value
SWU4 AAL Ipsi 0.8940082356672104
SWU4 AAL Ipsi 0.8627047247198005
SWU4 AAL Ipsi 0.8806769493412013
SWU4 AAL Ipsi 0.873106579446481
SWU4 AAL Ipsi 0.9112307899501698
SWU4 AAL Ipsi 0.8092559640666649
SWU4 AAL Ipsi 0.7728479410883659
SWU4 AAL Ipsi 0.8015816450559098
SWU4 AAL Ipsi 0.8424891784237306
SWU4 AAL Ipsi 0.7818362817745038
SWU4 AAL Ipsi 0.9417644776595685
SWU4 AAL Ipsi 0.8677553087031543
SWU4 AAL Ipsi 0.7946610190355112
SWU4 AAL Ipsi 0.8642312654536976
SWU4 AAL Ipsi 0.9008764240822295
SWU4 AAL Ipsi 0.832776181850186
SWU4 AAL Ipsi 0.819414199356209
SWU4 AAL Ipsi 0.8124595239754239
SWU4 AAL Ipsi 0.8371000141010442
SWU4 AAL Ipsi 0.7935336796800333
SWU4 AAL Ipsi 0.8456019301784462
SWU4 AAL Ipsi 0.8090332429421828
SWU4 AAL Ipsi 0.8498394423266202
SWU4 AAL Ipsi 0.887171011806387
SWU4 AAL Ipsi 0.8135350579124427
SWU4 AAL Ipsi 0.8818730426454322
SWU4 AAL Ipsi 0.818290251879585
SWU4 AAL Ipsi 0.8060340421659826
SWU4 AAL Ipsi 0.8435517073183171
SWU4 AAL Ipsi 0.862265571448373
SWU4 AAL Ipsi 0.7951389319941581
SWU4 AAL Ipsi 0.8642446648842814
SWU4 AAL Ipsi 0.8858911647432731
SWU4 AAL Ipsi 0.8421588283529376
SWU4 AAL Ipsi 0.8233344200042768
SWU4 AAL Ipsi 0.8068990045525029
SWU4 AAL Ipsi 0.8493726921096173
SWU4 AAL Ipsi 0.8329918055164709
SWU4 AAL Ipsi 0.89725991234772
SWU4 AAL Ipsi 0.8651519771669818
SWU4 AAL Ipsi 0.8215103617528628
SWU4 AAL Ipsi 0.8170339701076125
SWU4 AAL Ipsi 0.8970857100642989
SWU4 AAL Ipsi 0.9119644377388727
SWU4 AAL Ipsi 0.842535335435093
SWU4 AAL Ipsi 0.9254281555176275
SWU4 AAL Ipsi 0.799641834170224
SWU4 AAL Ipsi 0.8537011225475741
SWU4 AAL Ipsi 0.8912391184339038
SWU4 AAL Ipsi 0.8441665709546868
SWU4 AAL Ipsi 0.8066842186925752
SWU4 AAL Ipsi 0.7999726270437597
SWU4 AAL Ipsi 0.8342856627299547
SWU4 AAL Ipsi 0.8648021116595827
SWU4 AAL Ipsi 0.8708976065521761
