Dataset Atlas Type Value
SWU4 DKT Ipsi 0.8718599412223755
SWU4 DKT Ipsi 0.8620211814345433
SWU4 DKT Ipsi 0.8263799352325578
SWU4 DKT Ipsi 0.8645002809107104
SWU4 DKT Ipsi 0.8688796461693615
SWU4 DKT Ipsi 0.8316268727024045
SWU4 DKT Ipsi 0.7621615952485924
SWU4 DKT Ipsi 0.812629071124475
SWU4 DKT Ipsi 0.8680849355834758
SWU4 DKT Ipsi 0.7474758812418889
SWU4 DKT Ipsi 0.875991708271893
SWU4 DKT Ipsi 0.8249756710955837
SWU4 DKT Ipsi 0.8157606833956343
SWU4 DKT Ipsi 0.8231860784707318
SWU4 DKT Ipsi 0.8449611780273135
SWU4 DKT Ipsi 0.856846610267786
SWU4 DKT Ipsi 0.8640673674759857
SWU4 DKT Ipsi 0.8520403621797912
SWU4 DKT Ipsi 0.8190174288135119
SWU4 DKT Ipsi 0.8058581716900728
SWU4 DKT Ipsi 0.8202963981414512
SWU4 DKT Ipsi 0.8128368642564501
SWU4 DKT Ipsi 0.8432007342004494
SWU4 DKT Ipsi 0.8978756265133275
SWU4 DKT Ipsi 0.823481890768302
SWU4 DKT Ipsi 0.8581302876747318
SWU4 DKT Ipsi 0.7888679940817475
SWU4 DKT Ipsi 0.8233001678597824
SWU4 DKT Ipsi 0.8348902714673345
SWU4 DKT Ipsi 0.8478146353210319
SWU4 DKT Ipsi 0.8075500321859541
SWU4 DKT Ipsi 0.8818001868374316
SWU4 DKT Ipsi 0.8709728349986063
SWU4 DKT Ipsi 0.8127130552225494
SWU4 DKT Ipsi 0.792560421600839
SWU4 DKT Ipsi 0.7427818075108213
SWU4 DKT Ipsi 0.901101298803496
SWU4 DKT Ipsi 0.8205702562313539
SWU4 DKT Ipsi 0.881372865848621
SWU4 DKT Ipsi 0.877337421091541
SWU4 DKT Ipsi 0.8493828945516249
SWU4 DKT Ipsi 0.8689127660964014
SWU4 DKT Ipsi 0.861139834012768
SWU4 DKT Ipsi 0.9195413960253186
SWU4 DKT Ipsi 0.8254833821032737
SWU4 DKT Ipsi 0.9117937144735795
SWU4 DKT Ipsi 0.7827174036388395
SWU4 DKT Ipsi 0.8419497087577595
SWU4 DKT Ipsi 0.8237199319953318
SWU4 DKT Ipsi 0.8782599273498785
SWU4 DKT Ipsi 0.8198103620064502
SWU4 DKT Ipsi 0.8089340896612818
SWU4 DKT Ipsi 0.7918397595583367
SWU4 DKT Ipsi 0.8401175582283753
SWU4 DKT Ipsi 0.8502795683200081
SWU4 DKT Ipsi 0.787426430299098
