Dataset Atlas Type Value
SWU4 Hammer Ipsi 0.924214727261108
SWU4 Hammer Ipsi 0.8804587180863847
SWU4 Hammer Ipsi 0.8647205404651201
SWU4 Hammer Ipsi 0.9025538853346377
SWU4 Hammer Ipsi 0.9112009242734461
SWU4 Hammer Ipsi 0.8380729730821556
SWU4 Hammer Ipsi 0.743742787101359
SWU4 Hammer Ipsi 0.8341811787537297
SWU4 Hammer Ipsi 0.9103392624970807
SWU4 Hammer Ipsi 0.7359624988560662
SWU4 Hammer Ipsi 0.9581570309424353
SWU4 Hammer Ipsi 0.8886537960457214
SWU4 Hammer Ipsi 0.7853635686787885
SWU4 Hammer Ipsi 0.8724451886534202
SWU4 Hammer Ipsi 0.9214301117923237
SWU4 Hammer Ipsi 0.8757523488269929
SWU4 Hammer Ipsi 0.8971051473096211
SWU4 Hammer Ipsi 0.8784309372149232
SWU4 Hammer Ipsi 0.8690575518669686
SWU4 Hammer Ipsi 0.8471073059217696
SWU4 Hammer Ipsi 0.8550134399581849
SWU4 Hammer Ipsi 0.851854470377487
SWU4 Hammer Ipsi 0.888001593686214
SWU4 Hammer Ipsi 0.9318895877620007
SWU4 Hammer Ipsi 0.8296319430760392
SWU4 Hammer Ipsi 0.894021345306458
SWU4 Hammer Ipsi 0.8339474408327388
SWU4 Hammer Ipsi 0.8753156106009126
SWU4 Hammer Ipsi 0.8556110366790753
SWU4 Hammer Ipsi 0.869164985862074
SWU4 Hammer Ipsi 0.8251332445069072
SWU4 Hammer Ipsi 0.912708256768345
SWU4 Hammer Ipsi 0.9228145469487636
SWU4 Hammer Ipsi 0.8577507555659176
SWU4 Hammer Ipsi 0.827544080259426
SWU4 Hammer Ipsi 0.7465078006357132
SWU4 Hammer Ipsi 0.925131271856944
SWU4 Hammer Ipsi 0.8568820222172118
SWU4 Hammer Ipsi 0.9254388124558571
SWU4 Hammer Ipsi 0.8926893346132471
SWU4 Hammer Ipsi 0.8578381501798003
SWU4 Hammer Ipsi 0.897053491151727
SWU4 Hammer Ipsi 0.9232598263519509
SWU4 Hammer Ipsi 0.9570069477814956
SWU4 Hammer Ipsi 0.8591383076290121
SWU4 Hammer Ipsi 0.9352843656905238
SWU4 Hammer Ipsi 0.8160281969443556
SWU4 Hammer Ipsi 0.8653994135932016
SWU4 Hammer Ipsi 0.8930703232673805
SWU4 Hammer Ipsi 0.9173961965436159
SWU4 Hammer Ipsi 0.852226854130872
SWU4 Hammer Ipsi 0.8396232332618558
SWU4 Hammer Ipsi 0.8544823186307309
SWU4 Hammer Ipsi 0.8924049336968083
SWU4 Hammer Ipsi 0.9179054150891798
SWU4 Hammer Ipsi 0.818414623001151
SWU4 Hammer Ipsi 0.9404458787905398
SWU4 Hammer Ipsi 0.876699758925929
SWU4 Hammer Ipsi 0.903162899151548
SWU4 Hammer Ipsi 0.8257471273285438
SWU4 Hammer Ipsi 0.7572507859892458
SWU4 Hammer Ipsi 0.8421060907514348
SWU4 Hammer Ipsi 0.928878322839711
SWU4 Hammer Ipsi 0.8892065560836759
SWU4 Hammer Ipsi 0.8624332629110526
SWU4 Hammer Ipsi 0.855400451212634
SWU4 Hammer Ipsi 0.9139288910548471
SWU4 Hammer Ipsi 0.9216284722625436
SWU4 Hammer Ipsi 0.8528724740839436
SWU4 Hammer Ipsi 0.8118496711847769
SWU4 Hammer Ipsi 0.8878490572125581
SWU4 Hammer Ipsi 0.8613560262346178
SWU4 Hammer Ipsi 0.9337860544535642
SWU4 Hammer Ipsi 0.9064352135843339
SWU4 Hammer Ipsi 0.7916247589419181
SWU4 Hammer Ipsi 0.8186123106287979
SWU4 Hammer Ipsi 0.9178904682109114
SWU4 Hammer Ipsi 0.9068644307864858
SWU4 Hammer Ipsi 0.9059167999869067
SWU4 Hammer Ipsi 0.8045958129430836
SWU4 Hammer Ipsi 0.823043500143607
SWU4 Hammer Ipsi 0.8871025530826386
SWU4 Hammer Ipsi 0.8444807993410465
SWU4 Hammer Ipsi 0.8871193772875262
SWU4 Hammer Ipsi 0.8444031987512243
SWU4 Hammer Ipsi 0.8061443966458387
SWU4 Hammer Ipsi 0.8015433953704761
SWU4 Hammer Ipsi 0.9020498285920491
SWU4 Hammer Ipsi 0.9024530810315586
SWU4 Hammer Ipsi 0.873732790846879
SWU4 Hammer Ipsi 0.9105490868414544
SWU4 Hammer Ipsi 0.8833073001048454
SWU4 Hammer Ipsi 0.7881621670757787
SWU4 Hammer Ipsi 0.8358978525558153
SWU4 Hammer Ipsi 0.8195493972819946
SWU4 Hammer Ipsi 0.8667002802670144
SWU4 Hammer Ipsi 0.8494272666501369
SWU4 Hammer Ipsi 0.8410870355770387
SWU4 Hammer Ipsi 0.9180714089891466
SWU4 Hammer Ipsi 0.8913206467369243
SWU4 Hammer Ipsi 0.8995935286483052
SWU4 Hammer Ipsi 0.8578420652125258
SWU4 Hammer Ipsi 0.871156825628687
SWU4 Hammer Ipsi 0.9399975973030346
SWU4 Hammer Ipsi 0.7665170846418166
SWU4 Hammer Ipsi 0.9196159582348182
SWU4 Hammer Ipsi 0.8634828741498063
SWU4 Hammer Ipsi 0.8193490657602904
SWU4 Hammer Ipsi 0.8489231879296288
SWU4 Hammer Ipsi 0.794139692164616
SWU4 Hammer Ipsi 0.9162540510359767
SWU4 Hammer Ipsi 0.8856971404224575
SWU4 Hammer Ipsi 0.9154647326548351
SWU4 Hammer Ipsi 0.9042344321256813
SWU4 Hammer Ipsi 0.9435189688215656
SWU4 Hammer Ipsi 0.8447079714489629
SWU4 Hammer Ipsi 0.8989782853309435
SWU4 Hammer Ipsi 0.8484496280975607
SWU4 Hammer Ipsi 0.8721201471059609
SWU4 Hammer Ipsi 0.9342510686165967
SWU4 Hammer Ipsi 0.9451639277379388
SWU4 Hammer Ipsi 0.8632699933410645
SWU4 Hammer Ipsi 0.8961122558556297
SWU4 Hammer Ipsi 0.9528943549536778
SWU4 Hammer Ipsi 0.7960140464070767
SWU4 Hammer Ipsi 0.8553724907560298
SWU4 Hammer Ipsi 0.9103635233484068
SWU4 Hammer Ipsi 0.8549055363060248
SWU4 Hammer Ipsi 0.921429269137124
SWU4 Hammer Ipsi 0.8359506436298412
SWU4 Hammer Ipsi 0.9050373996067513
SWU4 Hammer Ipsi 0.8641298238216212
SWU4 Hammer Ipsi 0.8828399700554549
SWU4 Hammer Ipsi 0.9173199222233593
SWU4 Hammer Ipsi 0.9286529484940824
SWU4 Hammer Ipsi 0.8576297882007816
SWU4 Hammer Ipsi 0.8892820445723371
SWU4 Hammer Ipsi 0.8913682048430365
SWU4 Hammer Ipsi 0.9032831613096577
SWU4 Hammer Ipsi 0.8742463779253381
SWU4 Hammer Ipsi 0.9256687347659083
SWU4 Hammer Ipsi 0.9281216601708551
SWU4 Hammer Ipsi 0.7760339051751887
SWU4 Hammer Ipsi 0.7960694865779044
SWU4 Hammer Ipsi 0.8827380241761434
SWU4 Hammer Ipsi 0.838388258616587
SWU4 Hammer Ipsi 0.8779468771735272
SWU4 Hammer Ipsi 0.8195154978251519
SWU4 Hammer Ipsi 0.8942119798058589
