Dataset Atlas Type Value
SWU4 AAL Ipsi 0.3809864125831821
SWU4 AAL Ipsi 0.24719758832425892
SWU4 AAL Ipsi 0.18557390502117366
SWU4 AAL Ipsi 0.22453663067150637
SWU4 AAL Ipsi 0.2700859513006655
SWU4 AAL Ipsi 0.29444635299455535
SWU4 AAL Ipsi 0.2435037274652148
SWU4 AAL Ipsi 0.2866381170598911
SWU4 AAL Ipsi 0.23421222625529342
SWU4 AAL Ipsi 0.2723878932244404
SWU4 AAL Ipsi 0.25417404022988505
SWU4 AAL Ipsi 0.29329745977011495
SWU4 AAL Ipsi 0.24633672323049002
SWU4 AAL Ipsi 0.28171957199032066
SWU4 AAL Ipsi 0.19327461191772535
SWU4 AAL Ipsi 0.40739747186932845
SWU4 AAL Ipsi 0.2849568272837266
SWU4 AAL Ipsi 0.2585197743496672
SWU4 AAL Ipsi 0.22647609800362978
SWU4 AAL Ipsi 0.355922128554144
SWU4 AAL Ipsi 0.2792920756200847
SWU4 AAL Ipsi 0.2532367770719903
SWU4 AAL Ipsi 0.27306482819116756
SWU4 AAL Ipsi 0.3575868587416818
SWU4 AAL Ipsi 0.28222788354506956
SWU4 AAL Ipsi 0.3506331161524501
SWU4 AAL Ipsi 0.21181741651542646
SWU4 AAL Ipsi 0.32926064761040524
SWU4 AAL Ipsi 0.309888796430732
SWU4 AAL Ipsi 0.257309887477314
SWU4 AAL Ipsi 0.25283446763460377
SWU4 AAL Ipsi 0.41622664035087725
SWU4 AAL Ipsi 0.3884538759830611
SWU4 AAL Ipsi 0.31078447912885665
SWU4 AAL Ipsi 0.2888184564428312
SWU4 AAL Ipsi 0.22255288415003027
SWU4 AAL Ipsi 0.4308437265577737
SWU4 AAL Ipsi 0.29079337174833636
SWU4 AAL Ipsi 0.23473439655172415
SWU4 AAL Ipsi 0.28119153871748337
SWU4 AAL Ipsi 0.37841423260738055
SWU4 AAL Ipsi 0.3509875369026013
SWU4 AAL Ipsi 0.2196060217785844
SWU4 AAL Ipsi 0.24007083908045976
SWU4 AAL Ipsi 0.2315955686630369
SWU4 AAL Ipsi 0.28170130671506355
SWU4 AAL Ipsi 0.2537701954022989
SWU4 AAL Ipsi 0.2882141863278887
SWU4 AAL Ipsi 0.27685334361766484
SWU4 AAL Ipsi 0.32763626618269814
SWU4 AAL Ipsi 0.28040033182093166
SWU4 AAL Ipsi 0.2560061887477314
SWU4 AAL Ipsi 0.3962963469449486
SWU4 AAL Ipsi 0.21516677737447065
SWU4 AAL Ipsi 0.28332396309739866
SWU4 AAL Ipsi 0.33595646430732
SWU4 AAL Ipsi 0.32599313430127047
SWU4 AAL Ipsi 0.36594927404718697
SWU4 AAL Ipsi 0.377443162431942
SWU4 AAL Ipsi 0.3184303009679371
SWU4 AAL Ipsi 0.4554699150030248
SWU4 AAL Ipsi 0.3193763611615245
SWU4 AAL Ipsi 0.23601138021778587
SWU4 AAL Ipsi 0.30463699485783424
SWU4 AAL Ipsi 0.24756982970356925
SWU4 AAL Ipsi 0.25352677495462794
SWU4 AAL Ipsi 0.31432290108892924
SWU4 AAL Ipsi 0.24965272413793102
SWU4 AAL Ipsi 0.24329528735632183
SWU4 AAL Ipsi 0.3612197825166364
SWU4 AAL Ipsi 0.38869124107683006
SWU4 AAL Ipsi 0.37276769540229887
SWU4 AAL Ipsi 0.2354433729582577
SWU4 AAL Ipsi 0.23961230036297643
SWU4 AAL Ipsi 0.3837781935874168
SWU4 AAL Ipsi 0.4047585396249244
SWU4 AAL Ipsi 0.23841472171808833
SWU4 AAL Ipsi 0.3349948520871144
SWU4 AAL Ipsi 0.26527641379310346
SWU4 AAL Ipsi 0.3943213542044767
SWU4 AAL Ipsi 0.23394600453720507
SWU4 AAL Ipsi 0.2223070054446461
SWU4 AAL Ipsi 0.3173313548094374
SWU4 AAL Ipsi 0.2863903711433757
SWU4 AAL Ipsi 0.31817937568058074
SWU4 AAL Ipsi 0.2937667447065941
SWU4 AAL Ipsi 0.24162530369026014
SWU4 AAL Ipsi 0.34865481397459164
SWU4 AAL Ipsi 0.3518972943133697
SWU4 AAL Ipsi 0.30449511615245006
SWU4 AAL Ipsi 0.25590656442831217
SWU4 AAL Ipsi 0.31004552419842707
SWU4 AAL Ipsi 0.24618387840290382
SWU4 AAL Ipsi 0.3055861881427707
SWU4 AAL Ipsi 0.2668939016938899
SWU4 AAL Ipsi 0.2212205263157895
SWU4 AAL Ipsi 0.2651297238354507
SWU4 AAL Ipsi 0.2313762885662432
SWU4 AAL Ipsi 0.3331981467029643
SWU4 AAL Ipsi 0.24015962764670296
SWU4 AAL Ipsi 0.28304483968542044
SWU4 AAL Ipsi 0.35527159467634606
SWU4 AAL Ipsi 0.30779364186327884
SWU4 AAL Ipsi 0.30254789624924383
SWU4 AAL Ipsi 0.25903223169993955
SWU4 AAL Ipsi 0.26943016152450094
SWU4 AAL Ipsi 0.286371184815487
SWU4 AAL Ipsi 0.25456496218995767
SWU4 AAL Ipsi 0.36043301663641863
SWU4 AAL Ipsi 0.28009733605565634
SWU4 AAL Ipsi 0.2684379758015729
