Dataset Atlas Type Value
SWU4 DKT Ipsi 0.443298787804878
SWU4 DKT Ipsi 0.2922447719512195
SWU4 DKT Ipsi 0.1994534585365854
SWU4 DKT Ipsi 0.2488013542682927
SWU4 DKT Ipsi 0.28799896890243903
SWU4 DKT Ipsi 0.30758377317073177
SWU4 DKT Ipsi 0.2539547652439024
SWU4 DKT Ipsi 0.3019043176829268
SWU4 DKT Ipsi 0.23373883780487803
SWU4 DKT Ipsi 0.2871412841463415
SWU4 DKT Ipsi 0.28648306463414636
SWU4 DKT Ipsi 0.356762293902439
SWU4 DKT Ipsi 0.24862822743902438
SWU4 DKT Ipsi 0.3020969323170732
SWU4 DKT Ipsi 0.22204714329268296
SWU4 DKT Ipsi 0.43457717317073175
SWU4 DKT Ipsi 0.30953659817073176
SWU4 DKT Ipsi 0.2874761829268293
SWU4 DKT Ipsi 0.2349501006097561
SWU4 DKT Ipsi 0.3840465054878049
SWU4 DKT Ipsi 0.30284435
SWU4 DKT Ipsi 0.2479606951219512
SWU4 DKT Ipsi 0.31142737926829267
SWU4 DKT Ipsi 0.42272334451219507
SWU4 DKT Ipsi 0.3118367634146341
SWU4 DKT Ipsi 0.3900783134146341
SWU4 DKT Ipsi 0.21467803292682927
SWU4 DKT Ipsi 0.35563449939024394
SWU4 DKT Ipsi 0.31786567439024394
SWU4 DKT Ipsi 0.2676005817073171
SWU4 DKT Ipsi 0.27213716097560975
SWU4 DKT Ipsi 0.4310471396341463
SWU4 DKT Ipsi 0.3619899231707317
SWU4 DKT Ipsi 0.32007616097560976
SWU4 DKT Ipsi 0.283979543902439
SWU4 DKT Ipsi 0.22064899451219513
SWU4 DKT Ipsi 0.4704378195121951
SWU4 DKT Ipsi 0.3351610243902439
SWU4 DKT Ipsi 0.26673423536585367
SWU4 DKT Ipsi 0.2988201713414634
SWU4 DKT Ipsi 0.3959714256097561
SWU4 DKT Ipsi 0.3664582518292683
SWU4 DKT Ipsi 0.24100432682926828
SWU4 DKT Ipsi 0.24338885670731705
SWU4 DKT Ipsi 0.25121259024390247
SWU4 DKT Ipsi 0.299789731097561
SWU4 DKT Ipsi 0.296802968902439
SWU4 DKT Ipsi 0.312689712804878
SWU4 DKT Ipsi 0.2720604993902439
SWU4 DKT Ipsi 0.3606258243902439
SWU4 DKT Ipsi 0.3033203347560976
SWU4 DKT Ipsi 0.2697870804878049
SWU4 DKT Ipsi 0.4044508371951219
SWU4 DKT Ipsi 0.2605105640243902
SWU4 DKT Ipsi 0.3014274042682927
SWU4 DKT Ipsi 0.36352311097560985
SWU4 DKT Ipsi 0.31347180182926826
SWU4 DKT Ipsi 0.39725721829268285
SWU4 DKT Ipsi 0.3871581731707317
SWU4 DKT Ipsi 0.35198902621951217
SWU4 DKT Ipsi 0.5013712701219512
SWU4 DKT Ipsi 0.3571640384146342
SWU4 DKT Ipsi 0.26130246036585364
SWU4 DKT Ipsi 0.3074047298780488
SWU4 DKT Ipsi 0.2596395292682927
SWU4 DKT Ipsi 0.2644848969512195
SWU4 DKT Ipsi 0.32264627500000004
SWU4 DKT Ipsi 0.26996001341463416
SWU4 DKT Ipsi 0.28518550670731707
SWU4 DKT Ipsi 0.3836036310975609
SWU4 DKT Ipsi 0.4265231573170732
SWU4 DKT Ipsi 0.371978068902439
SWU4 DKT Ipsi 0.24728157378048782
SWU4 DKT Ipsi 0.24315316951219515
SWU4 DKT Ipsi 0.4243102304878049
SWU4 DKT Ipsi 0.4837301695121951
SWU4 DKT Ipsi 0.24169934451219513
SWU4 DKT Ipsi 0.3539884286585366
SWU4 DKT Ipsi 0.28625586402439024
SWU4 DKT Ipsi 0.43665622012195127
SWU4 DKT Ipsi 0.2406213225609756
SWU4 DKT Ipsi 0.25274958658536584
SWU4 DKT Ipsi 0.33619910853658536
SWU4 DKT Ipsi 0.3156367487804878
SWU4 DKT Ipsi 0.3387759579268293
SWU4 DKT Ipsi 0.3064014115853658
SWU4 DKT Ipsi 0.236804293902439
SWU4 DKT Ipsi 0.36064569634146343
SWU4 DKT Ipsi 0.4125058396341464
SWU4 DKT Ipsi 0.311030581097561
SWU4 DKT Ipsi 0.275579525
SWU4 DKT Ipsi 0.3387337554878049
SWU4 DKT Ipsi 0.27394228658536585
SWU4 DKT Ipsi 0.3274489603658537
SWU4 DKT Ipsi 0.2569124182926829
SWU4 DKT Ipsi 0.22582880548780487
SWU4 DKT Ipsi 0.28653514268292685
SWU4 DKT Ipsi 0.2677726128048781
SWU4 DKT Ipsi 0.3679145396341463
SWU4 DKT Ipsi 0.25623299512195125
SWU4 DKT Ipsi 0.3261388024390244
SWU4 DKT Ipsi 0.38585114634146345
SWU4 DKT Ipsi 0.34028171158536585
SWU4 DKT Ipsi 0.3294177731707317
SWU4 DKT Ipsi 0.2731192225609756
SWU4 DKT Ipsi 0.27952511890243903
SWU4 DKT Ipsi 0.32132235731707315
SWU4 DKT Ipsi 0.2767476908536585
SWU4 DKT Ipsi 0.36907945000000003
SWU4 DKT Ipsi 0.29482987987804876
SWU4 DKT Ipsi 0.2777600548780488
SWU4 DKT Ipsi 0.2487944817073171
SWU4 DKT Ipsi 0.25969746463414634
SWU4 DKT Ipsi 0.24351843902439022
SWU4 DKT Ipsi 0.46580889756097565
SWU4 DKT Ipsi 0.23366178170731708
SWU4 DKT Ipsi 0.29054620731707315
SWU4 DKT Ipsi 0.3467948798780488
SWU4 DKT Ipsi 0.356464756097561
SWU4 DKT Ipsi 0.2668137963414634
SWU4 DKT Ipsi 0.30845187682926833
SWU4 DKT Ipsi 0.38230723963414626
SWU4 DKT Ipsi 0.3135175701219512
SWU4 DKT Ipsi 0.40051899146341463
SWU4 DKT Ipsi 0.267879181097561
SWU4 DKT Ipsi 0.33855292012195126
SWU4 DKT Ipsi 0.33637747621951225
SWU4 DKT Ipsi 0.2235803408536585
SWU4 DKT Ipsi 0.28302182926829267
SWU4 DKT Ipsi 0.42568980426829267
SWU4 DKT Ipsi 0.5186591847560975
SWU4 DKT Ipsi 0.2451270707317073
SWU4 DKT Ipsi 0.3540149347560975
SWU4 DKT Ipsi 0.3093582804878049
SWU4 DKT Ipsi 0.2573439780487805
SWU4 DKT Ipsi 0.3213216115853659
SWU4 DKT Ipsi 0.27647481219512193
SWU4 DKT Ipsi 0.36162960609756095
SWU4 DKT Ipsi 0.2752902506097561
SWU4 DKT Ipsi 0.24877060243902438
SWU4 DKT Ipsi 0.3545389536585366
SWU4 DKT Ipsi 0.388078875
SWU4 DKT Ipsi 0.3238845487804878
SWU4 DKT Ipsi 0.2743933304878049
SWU4 DKT Ipsi 0.24550850914634142
