Dataset Atlas Type Value
SWU4 Hammer Ipsi 0.38433010312500004
SWU4 Hammer Ipsi 0.2686711475
SWU4 Hammer Ipsi 0.19220348999999998
SWU4 Hammer Ipsi 0.222542578125
SWU4 Hammer Ipsi 0.289016960625
SWU4 Hammer Ipsi 0.30893159875000004
SWU4 Hammer Ipsi 0.255831671875
SWU4 Hammer Ipsi 0.28802709375
SWU4 Hammer Ipsi 0.23210610750000002
SWU4 Hammer Ipsi 0.308639574375
SWU4 Hammer Ipsi 0.25574720125
SWU4 Hammer Ipsi 0.329460358125
SWU4 Hammer Ipsi 0.2489690975
SWU4 Hammer Ipsi 0.274437540625
SWU4 Hammer Ipsi 0.20290716875
SWU4 Hammer Ipsi 0.4208434443750001
SWU4 Hammer Ipsi 0.284986531875
SWU4 Hammer Ipsi 0.26811106375
SWU4 Hammer Ipsi 0.250078221875
SWU4 Hammer Ipsi 0.3692864349999999
SWU4 Hammer Ipsi 0.25322191437499997
SWU4 Hammer Ipsi 0.25877910937500004
SWU4 Hammer Ipsi 0.27660881187499997
SWU4 Hammer Ipsi 0.36127327062500003
SWU4 Hammer Ipsi 0.27885836875000003
SWU4 Hammer Ipsi 0.3530625243749999
SWU4 Hammer Ipsi 0.202916329375
SWU4 Hammer Ipsi 0.317033990625
SWU4 Hammer Ipsi 0.31137583125
SWU4 Hammer Ipsi 0.255108523125
SWU4 Hammer Ipsi 0.262109489375
SWU4 Hammer Ipsi 0.41939298999999997
SWU4 Hammer Ipsi 0.34102007375
SWU4 Hammer Ipsi 0.29192799125
SWU4 Hammer Ipsi 0.265976664375
SWU4 Hammer Ipsi 0.22150066
SWU4 Hammer Ipsi 0.42297073312500005
SWU4 Hammer Ipsi 0.26703251875
SWU4 Hammer Ipsi 0.23987775875
SWU4 Hammer Ipsi 0.29575489875
SWU4 Hammer Ipsi 0.37472241312500004
SWU4 Hammer Ipsi 0.34914179500000003
SWU4 Hammer Ipsi 0.22190395625
SWU4 Hammer Ipsi 0.26768691375
SWU4 Hammer Ipsi 0.23918139125
SWU4 Hammer Ipsi 0.26331012625
SWU4 Hammer Ipsi 0.27472598375
SWU4 Hammer Ipsi 0.267602998125
SWU4 Hammer Ipsi 0.26637077937500003
SWU4 Hammer Ipsi 0.34010012625
SWU4 Hammer Ipsi 0.288018338125
SWU4 Hammer Ipsi 0.27366864125
SWU4 Hammer Ipsi 0.38725984124999996
SWU4 Hammer Ipsi 0.232248933125
SWU4 Hammer Ipsi 0.27611009625
SWU4 Hammer Ipsi 0.35299704249999997
SWU4 Hammer Ipsi 0.28455753875
SWU4 Hammer Ipsi 0.34344440375000007
SWU4 Hammer Ipsi 0.37278250812499997
SWU4 Hammer Ipsi 0.304189594375
SWU4 Hammer Ipsi 0.4512236606250001
SWU4 Hammer Ipsi 0.316095070625
SWU4 Hammer Ipsi 0.241637349375
SWU4 Hammer Ipsi 0.28949362
SWU4 Hammer Ipsi 0.23343902375
SWU4 Hammer Ipsi 0.250354881875
SWU4 Hammer Ipsi 0.285656895
SWU4 Hammer Ipsi 0.23916108062500002
SWU4 Hammer Ipsi 0.29162891375
SWU4 Hammer Ipsi 0.34803917312500005
SWU4 Hammer Ipsi 0.39925600812499995
SWU4 Hammer Ipsi 0.345521856875
SWU4 Hammer Ipsi 0.23060602375000003
SWU4 Hammer Ipsi 0.22334457937500002
SWU4 Hammer Ipsi 0.4112930225
SWU4 Hammer Ipsi 0.415771998125
SWU4 Hammer Ipsi 0.24534823375000003
SWU4 Hammer Ipsi 0.373836685
SWU4 Hammer Ipsi 0.25183397
SWU4 Hammer Ipsi 0.435232390625
SWU4 Hammer Ipsi 0.25326042625
SWU4 Hammer Ipsi 0.23760110124999997
SWU4 Hammer Ipsi 0.3446647525
SWU4 Hammer Ipsi 0.29623893
SWU4 Hammer Ipsi 0.28846973625
SWU4 Hammer Ipsi 0.290580716875
SWU4 Hammer Ipsi 0.22344426750000002
SWU4 Hammer Ipsi 0.33028369999999996
SWU4 Hammer Ipsi 0.38193575124999996
SWU4 Hammer Ipsi 0.318153255
SWU4 Hammer Ipsi 0.24731025250000002
SWU4 Hammer Ipsi 0.2958755425
SWU4 Hammer Ipsi 0.25791548062499997
SWU4 Hammer Ipsi 0.314691535
SWU4 Hammer Ipsi 0.26503423
SWU4 Hammer Ipsi 0.21633003875
SWU4 Hammer Ipsi 0.27571676437500003
SWU4 Hammer Ipsi 0.24170285249999998
SWU4 Hammer Ipsi 0.36823689687499994
SWU4 Hammer Ipsi 0.23859472562500003
SWU4 Hammer Ipsi 0.30338107125
SWU4 Hammer Ipsi 0.388569295
SWU4 Hammer Ipsi 0.27624429875
SWU4 Hammer Ipsi 0.34290672625
SWU4 Hammer Ipsi 0.258153109375
SWU4 Hammer Ipsi 0.264013533125
SWU4 Hammer Ipsi 0.279927825
SWU4 Hammer Ipsi 0.2640041325
SWU4 Hammer Ipsi 0.34428571375000006
SWU4 Hammer Ipsi 0.280386115
SWU4 Hammer Ipsi 0.269965580625
SWU4 Hammer Ipsi 0.23397643187500003
SWU4 Hammer Ipsi 0.253223695
SWU4 Hammer Ipsi 0.2273464825
SWU4 Hammer Ipsi 0.403810875
SWU4 Hammer Ipsi 0.213543934375
SWU4 Hammer Ipsi 0.26815619749999997
SWU4 Hammer Ipsi 0.31749619875
