,Mean,BNU1 [57/2],IPCAS1 [30/3-4],SWU1 [20/6],IPCAS7 [72/2],BNU3 [48/3],UPSM1 [100/2],XHCUMS [24/12],NYU2 [187/2-4],HNU1 [30/10],SWU4 [235/2]
Schaefer1000,0.978527590325483,0.990433673469388,0.992185924581569,0.985000749962502,1.0,0.989041568163909,0.957041557107577,0.954752138883062,0.980692834412396,0.989564495530013,0.97539994147198
Slab907,0.976019450233936,0.996811224489796,0.990774349667272,0.991480425978701,0.997750391236307,0.991996650906226,0.944042293945171,0.941729304290289,0.970672583330068,0.992618135376756,0.979033556064966
Schaefer400,0.967886353827299,0.981611394557823,0.984398151801292,0.97655617219139,0.994816118935837,0.976014578408196,0.933608341882958,0.942230538702514,0.969495722546002,0.985633461047254,0.965547724723211
Slab1068,0.96576829180431,0.989583333333333,0.98860657390603,0.985436122930696,0.995109546165884,0.988204294720252,0.904918045886361,0.921415758310532,0.957482054685518,0.991383141762452,0.977021655367507
CAPRSC [333],0.961490430123815,0.979272959183674,0.986666315964825,0.974937042621553,0.997603677621283,0.97763987391647,0.912995413107283,0.917172724281844,0.959664430023048,0.983072796934866,0.966834121835829
Schaefer300,0.960865015094629,0.976084183673469,0.97847567444348,0.969416529173541,0.993984741784038,0.96875,0.921016119139592,0.932247476085502,0.96226132424273,0.982403575989783,0.958091498805053
AICHA [384],0.951219110796905,0.973639455782313,0.977088210280824,0.962157681589605,0.994620500782472,0.958628841607565,0.904965081937164,0.907650194693311,0.952904267258856,0.978360153256705,0.94844047212603
Schaefer200,0.949092012763677,0.970769557823129,0.966227412609485,0.958497206718612,0.98816510172144,0.949271079590228,0.901090449417661,0.915008034239715,0.950823952441123,0.977982120051085,0.947343071745598
Glasser [360],0.948192353086358,0.972895408163265,0.965519433265823,0.96179717329923,0.982492175273865,0.943804176516942,0.895170626452397,0.911657880657409,0.947138085987665,0.977301404853129,0.953512900551139
CPAC200,0.945765683194805,0.973639455782313,0.963829269575739,0.968787744823285,0.987920579029734,0.949665090622537,0.891506717861907,0.901590233335831,0.947277626350427,0.976489144316731,0.944215480661366
DS00278,0.936017332227691,0.980973639455782,0.970030116520687,0.974216289185541,0.99153951486698,0.974881796690308,0.839322550111857,0.899645578542485,0.937433176799557,0.984035759897829,0.911805589425938
DS00195,0.927077102885981,0.970344387755102,0.961637602251506,0.964241787910604,0.98523082942097,0.968577620173365,0.794656523022482,0.893647514738429,0.920798148271197,0.981282247765006,0.920170218992342
Princetonvisual [49],0.925741206411166,0.956951530612245,0.950040330711837,0.934142240256408,0.990512519561815,0.917356185973207,0.874809464646203,0.889869421784513,0.898223989919845,0.981196679438059,0.918737501829001
